Set,Card Name,Collector Number,Rarity,Colour,Mana Cost,Card Type,Subtype,Power,Toughness,Oracle Text / Ability,Legendary?,Creature Type,Ring Tempts You?,Food?,Treasure?,Ring / The One Ring Synergy?,Aragorn Synergy (1-5),Gandalf Synergy (1-5),Fellowship / Legends Synergy (1-5),Commander Role,Owned?,Notes
The Hobbit,Attercop,116,C,G,{1}{G},Creature,Spider,2,1,"Reach, deathtouch
Landfall — Whenever a land you control enters, this creature gets +1/+1 until end of turn.",No,Spider,No,No,No,No,,,,,Yes,Name corrected from 'Atercop'.
The Hobbit,Bard the Bowman,145,U,Multicolour,{1}{W}{U},Creature,Human Archer,1,3,"Reach
Whenever you draw your second card each turn, put a +1/+1 counter on target creature. It gains lifelink until end of turn.",Yes,Human Archer,No,No,No,No,,,,,Yes,
The Hobbit,Bard's Company,146,R,Multicolour,{2}{W}{U},Creature,Human Citizen,2,3,"You may cast this spell as though it had flash if you control a Human.
Other creatures you control get +1/+1.
Whenever this creature enters or attacks, recruit. (Draw a card, then discard a card. If you discarded a nonland card, create a 1/1 white Human Soldier creature token.)",No,Human Citizen,No,No,No,No,,,,,Yes,
The Hobbit,Bejeweled Warg,117,R,G,{1}{G},Creature,Wolf,3,2,"Trample
Whenever this creature deals combat damage to a player, choose one —
• Put a +1/+1 counter on target Wolf you control.
• Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",No,Wolf,No,No,Yes,No,,,,,Yes,Name corrected from 'Bejeweled Wargs'.
The Hobbit,Beorn's Hospitality,120,U,G,{1}{G},Enchantment,,,,"Landfall — Whenever a land you control enters, put a +1/+1 counter on target creature you control.
{5}{G}{G}: This enchantment becomes a Bear creature in addition to its other types and gains ""This creature's power and toughness are each equal to the number of lands you control."" (This effect doesn't end.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,"Beorn, Reluctant Host // Till and Tend",118,C,G,{4}{G} // {1}{G},Creature // Sorcery,Human Bear Shapeshifter // Adventure,5,5,"Beorn, Reluctant Host:
Trample
//
Till and Tend:
You may play an additional land this turn. (Then exile this card. You may cast the creature later from exile.)",Yes,Human Bear Shapeshifter,No,No,No,No,,,,,Yes,
The Hobbit,"Bifur, Melodic Rider",147,U,Multicolour,{4}{R/W}{R/W},Creature,Dwarf Bard,4,5,"Storied (If you control three or more artifacts, legendaries, and/or Sagas, you have an enduring story for the rest of the game.)
Whenever Bifur enters or attacks, put a +1/+1 counter on target creature.
As long as you have an enduring story, if a triggered ability of a Dwarf you control triggers, that ability triggers an additional time.",Yes,Dwarf Bard,No,No,No,No,,,,,Yes,
The Hobbit,"Bilbo Baggins, Burglar // Take a Glance",34,C,U,{2}{U} // {U},Creature // Sorcery,Halfling Rogue // Adventure,2,1,"Bilbo Baggins, Burglar:
When Bilbo Baggins enters, draw a card.
//
Take a Glance:
Scry 2. (Then exile this card. You may cast the creature later from exile.)",Yes,Halfling Rogue,No,No,No,No,,,,,Yes,
The Hobbit,Bilbo's Deadly Slice,62,C,B,{1}{B}{B},Instant,,,,Destroy target creature.,No,,No,No,No,No,,,,,Yes,
The Hobbit,"Bilbo, Luckwearer // Burglar's Plot",32,U,U,{1}{U} // {4}{U},Creature // Sorcery,Halfling Rogue // Adventure,1,1,"Bilbo, Luckwearer:
Bilbo can't be blocked.
Whenever Bilbo deals combat damage to a player, draw a card, then discard a card.
//
Burglar's Plot:
Exchange control of two target nonland permanents that share a card type. (Then exile this card. You may cast the creature later from exile.)",Yes,Halfling Rogue,No,No,No,No,,,,,Yes,
The Hobbit,"Bofur, Reliable Guardian // Concerted Care",6,U,W,{W} // {1}{W},Creature // Instant,Dwarf Scout // Adventure,1,1,"Bofur, Reliable Guardian:
Lifelink
//
Concerted Care:
Target artifact or creature you control gains hexproof and indestructible until end of turn. (Then exile this card. You may cast the creature later from exile.)",Yes,Dwarf Scout,No,No,No,No,,,,,Yes,
The Hobbit,Bolg of the North,148,U,Multicolour,{3}{B}{R},Creature,Goblin Soldier,5,5,"When Bolg enters, you may sacrifice another creature. When you do, Bolg deals damage equal to that creature's power to another target creature. If excess damage was dealt this way, amass Goblins X, where X is that excess damage. (Put X +1/+1 counters on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)",Yes,Goblin Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Bolg's Company,149,R,Multicolour,{B}{R},Creature,Goblin Soldier,2,2,"This creature has haste as long as you control another Goblin.
{T}, Sacrifice another Goblin: Add {B}{R}.",No,Goblin Soldier,No,No,No,No,,,,,,Not located in collection photos - please verify presence.
The Hobbit,"Bombur, Gentle Dreamer",88,U,R,{2}{R},Creature,Dwarf Bard,5,3,"Storied (If you control three or more artifacts, legendaries, and/or Sagas, you have an enduring story for the rest of the game.)
Bombur doesn't untap during your untap step unless you have an enduring story.",Yes,Dwarf Bard,No,No,No,No,,,,,Yes,
The Hobbit,Bothersome Noisemaker,89,U,R,{1}{R},Creature,Goblin Bard,2,2,"Whenever you cast a noncreature spell, amass Goblins 1. (Put a +1/+1 counter on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)",No,Goblin Bard,No,No,No,No,,,,,Yes,
The Hobbit,Boughside Wanderers,121,C,G,{4}{G}{G},Creature,Elf Scout,4,4,"When this creature enters, look at the top four cards of your library. You may reveal a permanent card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Landfall — Whenever a land you control enters, this creature gets +2/+2 until end of turn.",No,Elf Scout,No,No,No,No,,,,,Yes,
The Hobbit,"Burn, Burn, Tree and Fern",90,U,R,{3}{R},Enchantment,Saga,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.)
I — This Saga deals 6 damage to target creature an opponent controls.
II — Destroy target artifact an opponent controls.
III, IV — Add {R}.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Cantankerous Keepers,122,R,G,{5}{G},Creature,Elf Soldier,4,3,"Affinity for Elves (This spell costs {1} less to cast for each Elf you control.)
When this creature enters, mill four cards, then put all Elf cards from among them into your hand.",No,Elf Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Celebrate the Mountain-king,7,U,W,{3}{W},Enchantment,,,,"When this enchantment enters, for each opponent, exile up to one target nonland permanent that player controls until this enchantment leaves the battlefield.
When this enchantment enters, recruit. (Draw a card, then discard a card. If you discarded a nonland card, create a 1/1 white Human Soldier creature token.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Confusticate and Bebother,35,C,U,{2}{U},Instant,,,,"Choose one —
• Counter target spell unless its controller pays {4}.
• Draw two cards, then discard a card.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Crude Bent Blade,63,C,B,{2}{B},Artifact,Equipment,,,"When this Equipment enters, target opponent sacrifices a creature of their choice.
Equipped creature gets +2/+1.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Desolation Prowler,64,U,B,{1}{B},Creature,Wolf,2,2,Pay 2 life: This creature gets +2/+2 until end of turn. Activate only once each turn.,No,Wolf,No,No,No,No,,,,,Yes,
The Hobbit,"Dori, Bearer of Friends",94,C,R,{2}{R},Creature,Dwarf Warrior,3,2,"Trample
When Dori enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",Yes,Dwarf Warrior,No,No,Yes,No,,,,,Yes,
The Hobbit,"Down, Down to Goblin-town",65,U,B,{2}{B},Enchantment,Saga,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.)
I — Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
II — Amass Goblins 1. (Put a +1/+1 counter on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)
III, IV — Target opponent loses 1 life and you gain 1 life.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Dreaded Bat-Cloud,66,U,B,{4}{B},Creature,Bat,4,2,"This spell costs {3} less to cast if a creature died this turn.
Flying, deathtouch",No,Bat,No,No,No,No,,,,,Yes,
The Hobbit,Duskwatch Hunter,153,C,Multicolour,{2}{B/G},Creature,Wolf,3,1,"This creature can't be blocked by tokens.
When this creature enters, put a +1/+1 counter on target creature.",No,Wolf,No,No,No,No,,,,,Yes,
The Hobbit,Dwarven Mattock,172,U,Colourless,{2},Artifact,Equipment,,,"When this Equipment enters, attach it to target Dwarf you control.
Equipped creature gets +2/+2 and has ward {1}. (Whenever equipped creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Dwarven Mauler,95,U,R,{R},Creature,Dwarf Warrior,2,1,Equip abilities you activate that target this creature cost {2} less to activate.,No,Dwarf Warrior,No,No,No,No,,,,,Yes,
The Hobbit,Dwarven Provisioner,9,C,W,{1}{W},Creature,Dwarf Citizen,2,2,{3}{W}: Creatures you control get +1/+1 until end of turn.,No,Dwarf Citizen,No,No,No,No,,,,,Yes,
The Hobbit,Dwarven Shortsword,10,C,W,{3}{W},Artifact,Equipment,,,"When this Equipment enters, create a 2/2 red Dwarf creature token, then attach this Equipment to it.
Equipped creature gets +1/+2.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,"Dáin, Lord of the Iron Hills",8,U,W,{1}{W},Creature,Dwarf Noble,2,2,"Vigilance
Storied (If you control three or more artifacts, legendaries, and/or Sagas, you have an enduring story for the rest of the game.)
As long as you have an enduring story, creatures can't attack you unless their controller pays {1} for each of those creatures.",Yes,Dwarf Noble,No,No,No,No,,,,,Yes,
The Hobbit,Eagle of the Great Shelf,11,U,W,{4}{W},Creature,Bird Soldier,2,5,"Flying
Whenever this creature attacks, it gets +1/+1 until end of turn for each other creature you control.",No,Bird Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Eagle's Rescue,155,U,Multicolour,{2}{W/U}{W/U},Enchantment,Aura,,,"Enchant creature
Enchanted creature gets +2/+2 and has flying.
{2}{W/U}{W/U}: Return this card from your graveyard to the battlefield attached to target creature you control with power 1 or less. Activate only as a sorcery.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Elven Passage,181,R,Land,,Land,,,,"{T}, Pay 1 life, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. You may behold an Elf. If you do, untap that land. (To behold an Elf, choose an Elf you control or reveal an Elf card from your hand.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Elven Raft-Steerer,37,U,U,{2}{U},Creature,Elf Pilot,3,2,"Landfall — Whenever a land you control enters, choose one —
• Tap target creature an opponent controls.
• Untap target creature you control.",No,Elf Pilot,No,No,No,No,,,,,Yes,
The Hobbit,Elvenking's Halls,182,C,Land,,Land,,,,"This land enters tapped.
{T}: Add {G} or {U}.
{2}{G}{U}, {T}, Sacrifice this land: Put two +1/+1 counters on target Elf you control. Activate only as a sorcery.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Enchanted River's Grasp,39,C,U,{2}{U},Enchantment,Aura,,,"Enchant creature
When this Aura enters, tap enchanted creature and remove all counters from it.
Enchanted creature loses all abilities and doesn't untap during its controller's untap step.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Esgaroth Garrison,13,C,W,{4}{W},Creature,Human Soldier,*,5,"Esgaroth Garrison's power is equal to the number of creatures you control.
When this creature enters, recruit. (Draw a card, then discard a card. If you discarded a nonland card, create a 1/1 white Human Soldier creature token.)",No,Human Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Everything's Hungry,,,,,,,,,,,,,,,,,,,,,Card not found in database - please verify name/spelling from photo. Not located in collection photos - please verify presence.
The Hobbit,Fearsome Goblin Pair,156,U,Multicolour,{2}{B/R},Creature,Goblin Soldier,1,1,"When this creature dies, amass Goblins 4. (Put four +1/+1 counters on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)",No,Goblin Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Front Porch Sentries,67,C,B,{1}{B},Creature,Goblin Soldier,2,2,"When this creature dies, target creature an opponent controls gets -1/-1 until end of turn.",No,Goblin Soldier,No,No,No,No,,,,,Yes,Name corrected from 'Front Porch Sentinels'.
The Hobbit,"Galion, Elvenking's Butler",125,U,G,{2}{G}{G},Creature,Elf Advisor,4,4,"Whenever Galion attacks, choose up to one other target creature you control. Its base power and toughness become equal to Galion's power and toughness until end of turn.",Yes,Elf Advisor,No,No,No,No,,,,,Yes,
The Hobbit,"Gandalf, Goblins' Bane // Flameshape",96,M,R,{2}{R} // {1}{R},Creature // Sorcery,Avatar Wizard // Adventure,2,3,"Gandalf, Goblins' Bane:
Whenever you cast a noncreature spell, Gandalf gets +1/+1 until end of turn and deals 1 damage to each opponent.
//
Flameshape:
Look at the top two cards of your library and exile them face down. For as long as they remain exiled, you may play them if you control a Wizard.",Yes,Avatar Wizard,No,No,No,No,,,,,Yes,
The Hobbit,"Gandalf, Spark Starter",97,U,R,{4}{R}{R},Creature,Avatar Wizard,4,3,"Reach
When Gandalf enters, he deals 3 damage divided as you choose among one, two, or three targets.",Yes,Avatar Wizard,No,No,No,No,,,,,Yes,
The Hobbit,"Gandalf, Wandering Wizard",41,C,U,{4}{U},Creature,Avatar Wizard,4,5,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
{6}: Gandalf's owner shuffles him into their library and draws three cards.",Yes,Avatar Wizard,No,No,No,No,,,,,Yes,
